#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# Interpolated-NKPTS & NBANDS:  231424
# Band-Index    1
   0.59566    -26.076347    -26.075843
   0.55092    -26.076350    -26.075850
   0.50618    -26.076355    -26.075857
   0.50618    -26.076355    -26.075857
   0.46400    -26.076355    -26.075853
   0.42182    -26.076356    -26.075848
   0.37964    -26.076357    -26.075840
   0.33746    -26.076359    -26.075834
   0.29527    -26.076359    -26.075829
   0.25309    -26.076360    -26.075827
   0.25309    -26.076360    -26.075827
   0.21091    -26.076359    -26.075825
   0.16873    -26.076360    -26.075823
   0.12655    -26.076361    -26.075819
   0.08436    -26.076363    -26.075817
   0.04218    -26.076364    -26.075815
   0.00000    -26.076365    -26.075815
 
# Band-Index   15
   0.00000    -26.069571    -26.073771
   0.04218    -26.069571    -26.073771
   0.08436    -26.069571    -26.073771
   0.12655    -26.069570    -26.073770
   0.16873    -26.069570    -26.073770
   0.21091    -26.069569    -26.073769
   0.25309    -26.069570    -26.073770
   0.25309    -26.069570    -26.073770
   0.29527    -26.069570    -26.073769
   0.33746    -26.069570    -26.073768
   0.37964    -26.069569    -26.073766
   0.42182    -26.069568    -26.073765
   0.46400    -26.069567    -26.073764
   0.50618    -26.069568    -26.073764
   0.50618    -26.069568    -26.073764
   0.55092    -26.069568    -26.073764
   0.59566    -26.069568    -26.073765
   0.64041    -26.069569    -26.073766
   0.68515    -26.069570    -26.073767
   0.72989    -26.069570    -26.073768
   0.77463    -26.069571    -26.073769
   0.81937    -26.069571    -26.073770
   0.86411    -26.069571    -26.073771
 
# Band-Index   16
   0.86411    -26.068508    -26.072410
   0.81937    -26.068507    -26.072410
   0.77463    -26.068507    -26.072410
   0.72989    -26.068506    -26.072409
   0.68515    -26.068506    -26.072409
   0.64041    -26.068505    -26.072408
   0.59566    -26.068504    -26.072407
   0.55092    -26.068504    -26.072407
   0.50618    -26.068504    -26.072407
   0.50618    -26.068504    -26.072407
   0.46400    -26.068503    -26.072406
   0.42182    -26.068504    -26.072407
   0.37964    -26.068505    -26.072408
   0.33746    -26.068506    -26.072409
   0.29527    -26.068506    -26.072409
   0.25309    -26.068506    -26.072409
   0.25309    -26.068506    -26.072409
   0.21091    -26.068506    -26.072408
   0.16873    -26.068507    -26.072409
   0.12655    -26.068507    -26.072409
   0.08436    -26.068507    -26.072410
   0.04218    -26.068507    -26.072410
   0.00000    -26.068508    -26.072410
 
# Band-Index   17
   0.00000    -26.038302    -26.040641
   0.04218    -26.038300    -26.040638
   0.08436    -26.038296    -26.040634
   0.12655    -26.038290    -26.040627
   0.16873    -26.038284    -26.040622
   0.21091    -26.038280    -26.040618
   0.25309    -26.038279    -26.040617
   0.25309    -26.038279    -26.040617
   0.29527    -26.038277    -26.040615
   0.33746    -26.038275    -26.040614
   0.37964    -26.038270    -26.040611
   0.42182    -26.038266    -26.040609
   0.46400    -26.038263    -26.040607
   0.50618    -26.038262    -26.040607
   0.50618    -26.038262    -26.040607
   0.55092    -26.038264    -26.040609
   0.59566    -26.038268    -26.040612
   0.64041    -26.038274    -26.040617
   0.68515    -26.038282    -26.040624
   0.72989    -26.038289    -26.040631
   0.77463    -26.038295    -26.040636
   0.81937    -26.038299    -26.040639
   0.86411    -26.038302    -26.040641
 
# Band-Index   18
   0.86411    -26.025052    -26.031657
   0.81937    -26.025050    -26.031654
   0.77463    -26.025048    -26.031650
   0.72989    -26.025044    -26.031645
   0.68515    -26.025040    -26.031637
   0.64041    -26.025036    -26.031630
   0.59566    -26.025033    -26.031625
   0.55092    -26.025031    -26.031622
   0.50618    -26.025031    -26.031621
   0.50618    -26.025031    -26.031621
   0.46400    -26.025032    -26.031623
   0.42182    -26.025035    -26.031629
   0.37964    -26.025039    -26.031637
   0.33746    -26.025044    -26.031646
   0.29527    -26.025046    -26.031651
   0.25309    -26.025048    -26.031655
   0.25309    -26.025048    -26.031655
   0.21091    -26.025048    -26.031654
   0.16873    -26.025049    -26.031655
   0.12655    -26.025050    -26.031655
   0.08436    -26.025051    -26.031656
   0.04218    -26.025051    -26.031656
   0.00000    -26.025052    -26.031657
 
# Band-Index   19
   0.00000    -26.015949    -26.024162
   0.04218    -26.015919    -26.024141
   0.08436    -26.015858    -26.024100
   0.12655    -26.015765    -26.024037
   0.16873    -26.015673    -26.023974
   0.21091    -26.015611    -26.023932
   0.25309    -26.015582    -26.023912
   0.25309    -26.015582    -26.023912
   0.29527    -26.015579    -26.023910
   0.33746    -26.015576    -26.023907
   0.37964    -26.015570    -26.023901
   0.42182    -26.015566    -26.023896
   0.46400    -26.015563    -26.023892
   0.50618    -26.015562    -26.023891
   0.50618    -26.015562    -26.023891
   0.55092    -26.015585    -26.023907
   0.59566    -26.015626    -26.023935
   0.64041    -26.015685    -26.023977
   0.68515    -26.015761    -26.024031
   0.72989    -26.015837    -26.024084
   0.77463    -26.015893    -26.024123
   0.81937    -26.015930    -26.024149
   0.86411    -26.015949    -26.024162
 
# Band-Index   20
   0.86411    -26.008269    -26.005012
   0.81937    -26.008269    -26.005012
   0.77463    -26.008269    -26.005012
   0.72989    -26.008268    -26.005013
   0.68515    -26.008268    -26.005013
   0.64041    -26.008268    -26.005013
   0.59566    -26.008267    -26.005014
   0.55092    -26.008267    -26.005015
   0.50618    -26.008268    -26.005016
   0.50618    -26.008268    -26.005016
   0.46400    -26.008267    -26.005015
   0.42182    -26.008268    -26.005015
   0.37964    -26.008268    -26.005015
   0.33746    -26.008269    -26.005015
   0.29527    -26.008269    -26.005015
   0.25309    -26.008269    -26.005015
   0.25309    -26.008269    -26.005015
   0.21091    -26.008269    -26.005013
   0.16873    -26.008269    -26.005013
   0.12655    -26.008269    -26.005012
   0.08436    -26.008269    -26.005012
   0.04218    -26.008269    -26.005011
   0.00000    -26.008269    -26.005012
 
# Band-Index   21
   0.00000    -25.999340    -26.003446
   0.04218    -25.999337    -26.003442
   0.08436    -25.999330    -26.003434
   0.12655    -25.999319    -26.003422
   0.16873    -25.999308    -26.003410
   0.21091    -25.999301    -26.003402
   0.25309    -25.999298    -26.003398
   0.25309    -25.999298    -26.003398
   0.29527    -25.999297    -26.003398
   0.33746    -25.999298    -26.003399
   0.37964    -25.999298    -26.003399
   0.42182    -25.999299    -26.003400
   0.46400    -25.999299    -26.003400
   0.50618    -25.999299    -26.003401
   0.50618    -25.999299    -26.003401
   0.55092    -25.999300    -26.003403
   0.59566    -25.999305    -26.003407
   0.64041    -25.999311    -26.003414
   0.68515    -25.999320    -26.003423
   0.72989    -25.999328    -26.003432
   0.77463    -25.999334    -26.003439
   0.81937    -25.999338    -26.003443
   0.86411    -25.999340    -26.003446
 
# Band-Index   22
   0.86411    -25.982344    -25.986336
   0.81937    -25.982342    -25.986334
   0.77463    -25.982340    -25.986331
   0.72989    -25.982336    -25.986326
   0.68515    -25.982331    -25.986320
   0.64041    -25.982326    -25.986313
   0.59566    -25.982322    -25.986309
   0.55092    -25.982320    -25.986306
   0.50618    -25.982320    -25.986305
   0.50618    -25.982320    -25.986305
   0.46400    -25.982321    -25.986307
   0.42182    -25.982325    -25.986312
   0.37964    -25.982330    -25.986319
   0.33746    -25.982335    -25.986327
   0.29527    -25.982338    -25.986331
   0.25309    -25.982341    -25.986334
   0.25309    -25.982341    -25.986334
   0.21091    -25.982340    -25.986333
   0.16873    -25.982341    -25.986334
   0.12655    -25.982342    -25.986335
   0.08436    -25.982343    -25.986336
   0.04218    -25.982343    -25.986336
   0.00000    -25.982344    -25.986336
 
# Band-Index   23
   0.00000    -25.961793    -25.962484
   0.04218    -25.961793    -25.962486
   0.08436    -25.961796    -25.962489
   0.12655    -25.961799    -25.962493
   0.16873    -25.961803    -25.962497
   0.21091    -25.961805    -25.962499
   0.25309    -25.961806    -25.962501
   0.25309    -25.961806    -25.962501
   0.29527    -25.961806    -25.962501
   0.33746    -25.961807    -25.962502
   0.37964    -25.961807    -25.962503
   0.42182    -25.961808    -25.962504
   0.46400    -25.961808    -25.962504
   0.50618    -25.961809    -25.962505
   0.50618    -25.961809    -25.962505
   0.55092    -25.961808    -25.962503
   0.59566    -25.961806    -25.962501
